Nom_Universite;Site_Web
Université du Sud, Toulon et Var;['http://www.univ-tln.fr/']
Université des Sciences Sociales (Toulouse I);['http://www.univ-tlse1.fr/']
Université de Toulouse-le-Mirail (Toulouse II);['http://www.univ-tlse2.fr/']
Université de Toulouse-le-Mirail (Toulouse III);['http://www.univ-tlse3.fr/']
Université de Toulouse;['http://www.univ-toulouse.fr/']
Université François Rabelais de Tours;['http://www.univ-tours.fr/']
Université de Bretagne Sud;['http://www.univ-ubs.fr/']
Université de Valenciennes et du Hainaut-Cambrésis;['http://www.univ-valenciennes.fr/']
Université Paris Nanterre (Paris X);['http://www.u-paris10.fr/']
Université Panthéon-Assas (Paris II);['http://www.u-paris2.fr/']
Université de Picardie Jules-Verne;['http://www.u-picardie.fr/']
Université Paul Sabatier (Toulouse III);['http://www.ups-tlse.fr/']
Université Paris Sud (Paris XI);['http://www.u-psud.fr/']
Université d'Aix-Marseille;['http://www.univ-amu.fr/']
Université de Provence (Aix-Marseille I);['http://www.up.univ-mrs.fr/']
Université des Sciences Humaines (Strasbourg II);['http://ushs.u-strasbg.fr/']
Université de Technologie de Belfort Montbéliard;['http://www.utbm.fr/']
Université de Technologie de Compiègne;['http://www.utc.fr/']
Université de Technologie de Troyes;['http://www.utt.fr/']
Université de Versailles Saint-Quentin-en-Yvelines;['http://www.uvsq.fr/']
Ecole Nationale Vétérinaire d'Alfort;['http://www.vet-alfort.fr/']
Ecole Nationale Vétérinaire de Lyon;['http://www.vet-lyon.fr/']
Ecole Nationale Vétérinaire de Nantes;['http://www.vet-nantes.fr/']
Ecole Européenne de Chimie, Polymères et Matériaux de Strasbourg;['http://www-ecpm.u-strasbg.fr/']
Ecole Nationale du Génie de l'Eau et de l'Environnement de Strasbourg;['http://www-engees.u-strasbg.fr/']
Ecole Nationale Supérieure des Arts et Industries de Strasbourg;['http://www-ensais.u-strasbg.fr/']
Institut polytechnique de Grenoble;['https://grenoble-inp.fr/', 'https://phelma.grenoble-inp.fr/', 'https://ensimag.grenoble-inp.fr/', 'https://ense3.grenoble-inp.fr/', 'https://esisar.grenoble-inp.fr/', 'https://genie-industriel.grenoble-inp.fr/', 'https://pagora.grenoble-inp.fr/']
Ecole Nationale Supérieure de Physique de Strasbourg;['http://www-ensps.u-strasbg.fr/']
Université Louis Pasteur (Strasbourg I);['http://www-ulp.u-strasbg.fr/']
Université Robert Schuman (Strasbourg III);['http://www-urs.u-strasbg.fr/']
Université de Strasbourg;['https://www.unistra.fr/']
Ecole pour l'Informatique et les nouvelles Technologies;['http://www.epitech.eu/']
Ecole Pour l'Informatique et les Techniques Avancees;['http://www.epita.fr/']
Institut polytechnique des sciences avancees;['http://www.ipsa.fr/']
Ecole des technologies numeriques appliquees;['http://www.etna.io/']
Institut Sup'Biotech de Paris;['http://www.supbiotech.fr/']
DUT MMI - Université Bordeaux Montaigne;['https://www.mmibordeaux.com/']
Campus Saint Marc;['https://campus-saint-marc.com/']
Institut d'études politiques de Rennes;['https://www.sciencespo-rennes.fr/en/']
Rennes School of Business;['https://www.rennes-sb.com/']
Audencia;['https://www.audencia.com/']
Académie d'Orléans-Tours;['https://www.ac-orleans-tours.fr/']
Académie de Besançon;['https://www.ac-besancon.fr']
Université Clermont Auvergne;['https://www.uca.fr']
SKEMA Business School;['https://www.skema.edu/']
INSEAD;['https://www.insead.edu/']
Académie de Mayotte;['https://www.ac-mayotte.fr']
Collège de France;['https://www.college-de-france.fr']
University of Burgundy;['https://u-bourgogne.fr/']
Académie de Bordeaux;['https://ac-bordeaux.fr/']
Institut privé d'enseignement supérieur;['https://www.insead.edu/']
Université Paris-Saclay;['https://www.universite-paris-saclay.fr']
INU Champollion;['https://www.univ-jfc.fr/']
Institute Français de la Mode;['https://www.ifmparis.fr/']
EIGSI La Rochelle;['https://www.eigsi.fr/']
Université de Rennes 2;['https://www.univ-rennes2.fr/']
Université de Franche Comté;['http://univ-fcomte.fr/']
Université de Paris IV Sorbonne;['http://www.paris-sorbonne.fr/']
Université Diderot Paris 7;['http://www.univ-paris-diderot.fr/english/']
Université Paris Ouest Paris X Nanterre;['https://www.parisnanterre.fr/']
Université de Nimes;['http://www.unimes.fr/']
Université Champollion;['http://www.univ-jfc.fr/']
Université Pierre Mendès France;['http://www.upmf-grenoble.fr/']
Université Paris est Créteil Val de Marne Paris XII;['http://www.u-pec.fr/']
American Business School of Paris;['https://www.absparis.com/']
ESLSCA Business School Paris;['https://www.eslsca.fr/']
UniLaSalle;['https://www.unilasalle.fr/']
Yncrea;['https://yncrea.fr/']
IAE France;['https://www.iae-france.fr/']
ESCP Business School;['https://escp.eu/']
